wavelength,L,M,S
400,0.00240836,0.002269910,5.664980e-02
405,0.00483339,0.004700100,1.224510e-01
410,0.00872127,0.008793690,2.330080e-01
415,0.01338370,0.014527700,3.813630e-01
420,0.01844800,0.021664900,5.436180e-01
425,0.02293170,0.029571400,6.744740e-01
430,0.02818770,0.039456600,8.025550e-01
435,0.03410540,0.051819900,9.035730e-01
440,0.04025630,0.064778200,9.910200e-01
445,0.04493800,0.075881200,9.915150e-01
450,0.04986390,0.087052400,9.553930e-01
455,0.05534180,0.098193400,8.602400e-01
460,0.06471640,0.116272000,7.867040e-01
465,0.08068940,0.144541000,7.382680e-01
470,0.09947550,0.175893000,6.463590e-01
475,0.11880200,0.205398000,5.164110e-01
480,0.14014500,0.235754000,3.903330e-01
485,0.16395200,0.268063000,2.903220e-01
490,0.19155600,0.303630000,2.118670e-01
495,0.23292600,0.357061000,1.605260e-01
500,0.28895900,0.427764000,1.228390e-01
505,0.35971600,0.515587000,8.889650e-02
510,0.44368300,0.615520000,6.082100e-02
515,0.53649400,0.719154000,4.281230e-02
520,0.62856100,0.816610000,2.920330e-02
525,0.70472000,0.885550000,1.939120e-02
530,0.77063000,0.935687000,1.260130e-02
535,0.82571100,0.968858000,8.094530e-03
540,0.88101100,0.995217000,5.089000e-03
545,0.91906700,0.997193000,3.168930e-03
550,0.94019800,0.977193000,1.958960e-03
555,0.96573300,0.956583000,1.202770e-03
560,0.98144500,0.917750000,7.401740e-04
565,0.99448600,0.873205000,4.559790e-04
570,0.99999300,0.813509000,2.818000e-04
575,0.99231000,0.740291000,1.750390e-04
580,0.96942900,0.653274000,1.094540e-04
585,0.95560200,0.572597000,6.899910e-05
590,0.92767300,0.492599000,4.390240e-05
595,0.88596900,0.411246000,2.822280e-05
600,0.83398200,0.334429000,1.834590e-05
605,0.77510300,0.264872000,1.206670e-05
610,0.70571300,0.205273000,8.034880e-06
615,0.63077300,0.156243000,5.418430e-06
620,0.55422400,0.116641000,0.000000e+00
625,0.47994100,0.085587200,0.000000e+00
630,0.40071100,0.062112000,0.000000e+00
635,0.32786400,0.044487900,0.000000e+00
640,0.26578400,0.031428200,0.000000e+00
645,0.21328400,0.021803700,0.000000e+00
650,0.16514100,0.015448000,0.000000e+00
655,0.12474900,0.010712000,0.000000e+00
660,0.09300850,0.007302550,0.000000e+00
665,0.06851000,0.004971790,0.000000e+00
670,0.04986610,0.003436670,0.000000e+00
675,0.03582330,0.002376170,0.000000e+00
680,0.02537900,0.001637340,0.000000e+00
